Player,Team,POS,ADP
Jahmyr Gibbs,,RB,1.35
Bijan Robinson,,RB,2.39
Ja'Marr Chase,,WR,4.30
Puka Nacua,,WR,5.28
Jonathan Taylor,,RB,6.43
Jaxon Smith-Njigba,,WR,6.15
Christian McCaffrey,,RB,7.66
Amon-Ra St. Brown,,WR,8.34
James Cook III,,RB,10.57
De'Von Achane,,RB,12.12
CeeDee Lamb,,WR,11.65
Justin Jefferson,,WR,12.63
Omarion Hampton,,RB,19.87
Chase Brown,,RB,17.63
Saquon Barkley,,RB,14.19
Derrick Henry,,RB,16.96
Drake London,,WR,19.91
Ashton Jeanty,,RB,21.41
A.J. Brown,,WR,21.93
Trey McBride,,TE,22.35
Jeremiyah Love,,RB,25.79
Brock Bowers,,TE,24.00
Nico Collins,,WR,25.95
Chris Olave,,WR,29.84
Kenneth Walker III,,RB,24.79
Josh Allen,,QB,19.61
Rashee Rice,,WR,28.13
George Pickens,,WR,28.65
Garrett Wilson,,WR,37.19
Breece Hall,,RB,35.79
Javonte Williams,,RB,33.55
Kyren Williams,,RB,36.80
Malik Nabers,,WR,34.54
Travis Etienne Jr.,,RB,42.40
DeVonta Smith,,WR,37.32
Tetairoa McMillan,,WR,41.75
Zay Flowers,,WR,44.04
Emeka Egbuka,,WR,45.45
Quinshon Judkins,,RB,50.27
Ladd McConkey,,WR,46.72
Cam Skattebo,,RB,45.49
Colston Loveland,,TE,42.89
Tee Higgins,,WR,51.29
Davante Adams,,WR,46.30
Jaylen Waddle,,WR,52.73
D'Andre Swift,,RB,54.71
Bhayshul Tuten,,RB,63.78
Lamar Jackson,,QB,35.40
Bucky Irving,,RB,56.87
David Montgomery,,RB,63.70
Terry McLaurin,,WR,60.97
DJ Moore,,WR,62.27
Jadarian Price,,RB,69.95
Jameson Williams,,WR,64.63
Tyler Warren,,TE,51.93
Rome Odunze,,WR,64.76
Jayden Daniels,,QB,52.59
Drake Maye,,QB,47.43
TreVeyon Henderson,,RB,79.64
Luther Burden III,,WR,76.13
Carnell Tate,,WR,76.88
Mike Evans,,WR,86.54
Rhamondre Stevenson,,RB,80.62
Joe Burrow,,QB,54.50
Marvin Harrison Jr.,,WR,79.82
Michael Pittman Jr.,,WR,90.14
Tony Pollard,,RB,92.40
DK Metcalf,,WR,85.59
Jalen Hurts,,QB,53.90
Harold Fannin Jr.,,TE,71.35
Courtland Sutton,,WR,81.21
Kyle Pitts Sr.,,TE,67.78
Dak Prescott,,QB,73.90
Jaylen Warren,,RB,90.17
Christian Watson,,WR,90.72
Parker Washington,,WR,90.77
Kenny Gainwell,,RB,104.25
George Kittle,,TE,78.09
MarShawn Lloyd,,RB,140.55
Wan'Dale Robinson,,WR,115.53
Sam LaPorta,,TE,72.68
Josh Jacobs,,RB,52.71
Rico Dowdle,,RB,96.52
Michael Wilson,,WR,101.91
Jaxson Dart,,QB,82.21
Justin Herbert,,QB,89.59
Jonathon Brooks,,RB,107.18
Stefon Diggs,,WR,105.87
Caleb Williams,,QB,92.42
Chuba Hubbard,,RB,109.03
Travis Hunter,,WR,118.96
Aaron Jones Sr.,,RB,116.69
Alec Pierce,,WR,108.07
Jakobi Meyers,,WR,122.24
Brian Thomas Jr.,,WR,112.71
Matthew Golden,,WR,111.09
