Player,Team,POS,ADP
Chris Godwin Jr.,,WR,125.73
Jordan Addison,,WR,119.84
Trevor Lawrence,,QB,97.56
Rachaad White,,RB,126.05
J.K. Dobbins,,RB,113.09
Brock Purdy,,QB,108.99
Kyle Monangai,,RB,124.29
Tucker Kraft,,TE,90.84
Josh Downs,,WR,137.23
Khalil Shakir,,WR,139.73
Travis Kelce,,TE,95.16
Patrick Mahomes,,QB,107.70
RJ Harvey,,RB,127.38
Dallas Goedert,,TE,104.07
Makai Lemon,,WR,133.17
Blake Corum,,RB,127.63
Bo Nix,,QB,99.47
Jake Ferguson,,TE,108.91
Matthew Stafford,,QB,90.67
Kyler Murray,,QB,139.81
Jacory Croskey-Merritt,,RB,135.86
Brandon Aubrey,,K,85.76
Isaiah Likely,,TE,123.31
Quentin Johnston,,WR,129.98
Jayden Reed,,WR,137.72
Xavier Worthy,,WR,129.27
De'Zhaun Stribling,,WR,141.90
Mark Andrews,,TE,125.65
Romeo Doubs,,WR,148.27
Jalen Coker,,WR,155.91
Dalton Kincaid,,TE,130.81
Tyler Shough,,QB,153.02
Jared Goff,,QB,135.99
Tyjae Spears,,RB,146.83
Jordan Mason,,RB,139.33
Deebo Samuel Sr.,,WR,140.86
KC Concepcion,,WR,146.63
Zach Charbonnet,,RB,153.16
Woody Marks,,RB,151.43
Jalen McMillan,,WR,165.09
Jonah Coleman,,RB,169.22
Baker Mayfield,,QB,145.92
Tank Dell,,WR,162.60
Daniel Jones,,QB,159.38
Texans D/ST,,DST,91.14
Cameron Dicker,,K,112.08
Broncos D/ST,,DST,98.93
Chris Rodriguez Jr.,,RB,164.93
Isiah Pacheco,,RB,157.94
Jason Myers,,K,116.26
Alvin Kamara,,RB,160.25
Ka'imi Fairbairn,,K,126.12
Juwan Johnson,,TE,158.95
Hunter Henry,,TE,151.41
Tyler Allgeier,,RB,162.77
Harrison Mevis,,K,137.87
T.J. Hockenson,,TE,147.91
Kenyon Sadiq,,TE,161.09
Keenan Allen,,WR,165.61
Jordan Love,,QB,155.66
Calvin Ridley,,WR,168.34
Dylan Sampson,,RB,169.09
Brian Robinson Jr.,,RB,167.56
Brenton Strange,,TE,167.55
Jaylin Noel,,WR,171.85
Terrance Ferguson,,TE,168.34
Rashid Shaheed,,WR,159.95
Denzel Boston,,WR,168.78
Jerry Jeudy,,WR,168.27
Adonai Mitchell,,WR,171.06
Caleb Douglas,,WR,170.66
Malik Willis,,QB,167.53
Jordyn Tyson,,WR,168.09
Tre Tucker,,WR,169.12
Jalen Nailor,,WR,171.08
Keaton Mitchell,,RB,169.36
Mike Washington Jr.,,RB,164.21
Braelon Allen,,RB,170.99
Rashod Bateman,,WR,171.40
Dontayvion Wicks,,WR,170.97
Devaughn Vele,,WR,171.66
Tank Bigsby,,RB,169.72
Ray Davis,,RB,171.05
Steelers D/ST,,DST,121.20
Seahawks D/ST,,DST,111.77
Rams D/ST,,DST,105.83
Ravens D/ST,,DST,133.73
Eagles D/ST,,DST,137.61
Browns D/ST,,DST,157.63
Patriots D/ST,,DST,152.97
Lions D/ST,,DST,154.51
Chiefs D/ST,,DST,165.79
Chargers D/ST,,DST,165.63
Eddy Pineiro,,K,141.06
Harrison Butker,,K,143.65
Cam Little,,K,140.71
Jake Bates,,K,157.15
Tyler Loop,,K,165.14
Cairo Santos,,K,168.98
Will Reichard,,K,167.73
Najee Harris,,RB,170.21
Justice Hill,,RB,168.50
Ja'Kobi Lane,,WR,168.63
C.J. Stroud,,QB,165.24
Sam Darnold,,QB,162.19
Jauan Jennings,,WR,171.11
Malachi Fields,,WR,170.10
Germie Bernard,,WR,171.33
Tre' Harris,,WR,171.17
Pat Freiermuth,,TE,169.54
Dalton Schultz,,TE,168.61
Ryan Flournoy,,WR,171.09
Zachariah Branch,,WR,170.89
Omar Cooper Jr.,,WR,171.19
Kayshon Boutte,,WR,170.60
Kaelon Black,,RB,170.43
Kimani Vidal,,RB,170.97
Jaylen Wright,,RB,170.56
Gunnar Helm,,TE,170.75
Chig Okonkwo,,TE,170.16
AJ Barner,,TE,169.69
Bryce Young,,QB,168.90
Cam Ward,,QB,169.21
Jacoby Brissett,,QB,169.98
Ollie Gordon II,,RB,170.67
Samaje Perine,,RB,171.17
Ty Johnson,,RB,170.74
Malik Washington,,WR,170.17
Malik Davis,,RB,170.10
Brashard Smith,,RB,170.08
Cooper Kupp,,WR,169.21
Xavier Legette,,WR,170.72
Jahan Dotson,,WR,170.67
Xavier Hutchinson,,WR,170.06
Jalen Tolbert,,WR,170.55
Chris Bell,,WR,170.51
DeMario Douglas,,WR,170.44
Darius Slayton,,WR,170.60
Buccaneers D/ST,,DST,170.39
Packers D/ST,,DST,169.18
Chris Boswell,,K,164.46
Chase McLaughlin,,K,170.21
Chris Brooks,,RB,170.20
Emmett Johnson,,RB,169.93
Isaiah Davis,,RB,170.58
LeQuint Allen Jr.,,RB,170.33
George Holani,,RB,170.28
Tyrone Tracy Jr.,,RB,170.34
Sean Tucker,,RB,170.33
Seth McGowan,,RB,170.22
Jordan James,,RB,170.96
Will Shipley,,RB,170.12
Jacob Saylors,,RB,169.99
Nicholas Singleton,,RB,170.40
Kendre Miller,,RB,170.16
Antonio Williams,,WR,170.53
Tyquan Thornton,,WR,170.41
Jaguars D/ST,,DST,167.96
Saints D/ST,,DST,170.53
Evan McPherson,,K,169.28
Nick Folk,,K,170.33
Greg Dulcich,,TE,170.47
Darren Waller,,TE,170.36
Cade Otton,,TE,170.35
Keon Coleman,,WR,170.32
Isaac TeSlaa,,WR,170.28
Pat Bryant,,WR,170.41
Marvin Mims Jr.,,WR,170.16
Tahj Brooks,,RB,170.14
Demond Claiborne,,RB,170.37
Geno Smith,,QB,170.09
Fernando Mendoza,,QB,168.33
Aaron Rodgers,,QB,169.20
Deshaun Watson,,QB,170.09
Andrei Iosivas,,WR,170.13
Kevin Coleman Jr.,,WR,169.99
KaVontae Turpin,,WR,169.77
Jack Bech,,WR,170.21
Tory Horton,,WR,170.21
Rasheen Ali,,RB,170.07
Kaytron Allen,,RB,170.45
DJ Giddens,,RB,170.15
Emanuel Wilson,,RB,170.21
Kaleb Johnson,,RB,169.93
Kene Nwangwu,,RB,170.10
Bam Knight,,RB,170.09
Sione Vaki,,RB,169.99
Ted Hurst III,,WR,170.19
Jets D/ST,,DST,170.20
49ers D/ST,,DST,168.96
Trey Smack,,K,168.01
Spencer Shrader,,K,169.89
Evan Engram,,TE,170.03
David Njoku,,TE,169.66
Oronde Gadsden,,TE,170.20
Mike Gesicki,,TE,170.25
Michael Mayer,,TE,170.25
Darnell Mooney,,WR,170.43
Mack Hollins,,WR,170.08
Tua Tagovailoa,,QB,170.09
Cowboys D/ST,,DST,167.04
Colts D/ST,,DST,170.10
Vikings D/ST,,DST,168.92
Bengals D/ST,,DST,169.71
Shedeur Sanders,,QB,169.85
Kirk Cousins,,QB,169.97
Dylan Laube,,RB,170.07
Tyler Badie,,RB,170.05
Adam Randall,,RB,170.33
James Conner,,RB,170.16
Eli Heidenreich,,RB,169.98
Jam Miller,,RB,169.99
Trey Benson,,RB,169.97
Michael Penix Jr.,,QB,170.10
Jake Tonges,,TE,170.19
Colby Parkinson,,TE,170.24
Erick All Jr.,,TE,170.04
Darnell Washington,,TE,169.79
J.J. McCarthy,,QB,169.89
Carson Beck,,QB,170.01
Justin Fields,,QB,169.97
Joe Flacco,,QB,169.97
Mac Jones,,QB,169.98
Riley Nowakowski,,RB,169.99
Kyle Juszczyk,,RB,169.96
Hunter Luepke,,RB,169.97
Dawson Knox,,TE,169.80
Elijah Arroyo,,TE,169.92
Mason Taylor,,TE,170.02
Theo Johnson,,TE,170.13
Cole Kmet,,TE,169.74
Ja'Tavion Sanders,,TE,169.95
Noah Gray,,TE,169.93
Eli Stowers,,TE,169.97
Tyler Higbee,,TE,169.88
Max Klare,,TE,169.99
Eli Raridon,,TE,169.97
Tommy Tremble,,TE,169.95
Ty Simpson,,QB,169.96
Jameis Winston,,QB,169.95
Anthony Richardson Sr.,,QB,169.98
Jalon Daniels,,QB,169.96
Jarrett Stidham,,QB,169.99
Tommy DeVito,,QB,169.94
Marcus Mariota,,QB,169.99
Tyson Bagent,,QB,169.98
Sam Howell,,QB,169.98
Tanner McKee,,QB,169.97
Jake Elliott,,K,169.00
Daniel Carlson,,K,170.18
Wil Lutz,,K,169.63
Tyler Bass,,K,169.60
Dominic Zvada,,K,169.90
Drew Stevens,,K,169.96
Andy Borregales,,K,170.09
Riley Patterson,,K,169.95
Matt Gay,,K,169.56
Ryan Fitzgerald,,K,169.81
Joey Slye,,K,169.78
Chad Ryland,,K,169.91
Andre Szmyt,,K,169.88
Jason Sanders,,K,169.88
Giants D/ST,,DST,169.65
Bears D/ST,,DST,169.62
Titans D/ST,,DST,169.89
Panthers D/ST,,DST,169.84
Commanders D/ST,,DST,169.73
Falcons D/ST,,DST,170.07
Bills D/ST,,DST,168.99
Raiders D/ST,,DST,169.80
Cardinals D/ST,,DST,169.84
Dolphins D/ST,,DST,169.66
Cyrus Allen,,WR,169.76
Kyle Williams,,WR,169.97
Troy Franklin,,WR,170.05
Joshua Palmer,,WR,169.95
Kendrick Bourne,,WR,170.01
Malik Benson,,WR,169.99
Kalif Raymond,,WR,169.97
Dyami Brown,,WR,169.99
Treylon Burks,,WR,169.99
Devontez Walker,,WR,169.97
Austin Hooper,,TE,169.99
Elijah Higgins,,TE,169.94
Savion Williams,,WR,170.05
Will Kacmarek,,TE,169.98
Chimere Dike,,WR,169.85
Bryce Lance,,WR,169.99
Jonnu Smith,,TE,169.96
Drew Sample,,TE,169.98
Josh Oliver,,TE,169.95
Adam Trautman,,TE,169.97
Jaylin Lane,,WR,169.99
Zavion Thomas,,WR,169.89
Charlie Kolar,,TE,169.99
Noah Fant,,TE,169.98
Isaiah Bond,,WR,169.99
Cade Stover,,TE,169.98
John Bates,,TE,169.98
Skyler Bell,,WR,169.92
Hollywood Brown,,WR,169.97
Olamide Zaccheaus,,WR,169.99
Ashton Dulin,,WR,169.98
Isaiah Williams,,WR,169.99
Tutu Atwell,,WR,170.09
Colbie Young,,WR,169.98
Tanner Hudson,,TE,169.99
Roman Wilson,,WR,169.98
Luke Schoonmaker,,TE,169.93
Mo Alie-Cox,,TE,169.97
Brenen Thompson,,WR,169.98
Jackson Hawes,,TE,169.97
Daniel Bellinger,,TE,169.99
Ben Sinnott,,TE,169.99
Jeremy Ruckert,,TE,169.99
Elijah Sarratt,,WR,169.99
Odell Beckham Jr.,,WR,169.42
Elic Ayomanor,,WR,170.00
Durham Smythe,,TE,169.98
Jordan Whittington,,WR,169.97
Tez Johnson,,WR,169.98
Jimmy Horn Jr.,,WR,169.97
Davis Allen,,TE,169.98
Konata Mumpfield,,WR,169.98
Foster Moreau,,TE,169.99
Demarcus Robinson,,WR,169.98
Nate Adkins,,TE,169.99
Brock Wright,,TE,169.91
Nate Boerkircher,,TE,169.99
Luke McCaffrey,,WR,169.91
Jalen Royals,,WR,169.98
KeAndre Lambert-Smith,,WR,169.97
Payne Durham,,TE,169.99
Oscar Delp,,TE,169.99
Barion Brown,,WR,169.98
Laquon Treadwell,,WR,169.99
Alec Ingold,,RB,169.99
Dont'e Thornton Jr.,,WR,169.99
Bo Melton,,WR,169.98
Blake Whiteheart,,TE,169.99
Ben Sims,,TE,169.99
Malachi Corley,,WR,169.99
Kevin Austin Jr.,,WR,170.00
Tay Martin,,WR,170.00
Derius Davis,,WR,169.99
Xavier Smith,,WR,169.98
Adam Prentice,,RB,169.99
Jacob Cowing,,WR,169.99
Connor Heyward,,RB,169.99
Dohnte Meyers,,WR,169.97
Michael Burton,,RB,169.98
Efton Chism III,,WR,169.96
Max Bredeson,,RB,169.99
Brevyn Spann-Ford,,TE,169.98
Drew Allar,,QB,169.94
Trey Lance,,QB,169.99
Jackson Meeks,,TE,169.99
Riley Leonard,,QB,169.99
Quinn Ewers,,QB,169.97
Tyrod Taylor,,QB,169.97
Tanner Koziol,,TE,170.00
Ko Kieft,,TE,169.99
Kenny Pickett,,QB,169.97
Tai Felton,,WR,169.98
Josh Cameron,,WR,169.98
Spencer Rattler,,QB,169.98
Marlin Klein,,TE,169.98
Josh Whyle,,TE,169.98
Luke Farrell,,TE,169.99
Drew Ogletree,,TE,169.99
Sam Roush,,TE,169.98
Jahdae Walker,,WR,169.97
Joshua Dobbs,,QB,169.95
Tyler Huntley,,QB,169.97
Matthew Hibner,,TE,169.98
Josh Cuevas,,TE,169.99
Eric Saubert,,TE,169.99
Darius Cooper,,WR,169.97
Andrew Beck,,RB,169.99
Jonathan Mingo,,WR,169.97
Davis Mills,,QB,169.99
Hunter Long,,TE,169.99
Ian Thomas,,TE,169.99
Charlie Woerner,,TE,169.99
Cade Klubnik,,QB,169.98
Johnny Mundt,,TE,169.99
Carsen Ryan,,TE,170.00
Reggie Virgil,,WR,169.99
Kyle Allen,,QB,169.96
Kyle McCord,,QB,169.99
Brycen Tremayne,,WR,169.99
Drew Lock,,QB,169.97
Reggie Gilliam,,RB,169.98
Mitchell Trubisky,,QB,169.99
Patrick Ricard,,RB,169.98
Gardner Minshew II,,QB,169.98
Chris Manhertz,,TE,169.99
Kaden Wetjen,,WR,169.96
Ben Skowronek,,WR,169.98
Kameron Johnson,,WR,169.99
Arian Smith,,WR,169.99
Braxton Berrios,,WR,169.96
British Brooks,,RB,169.99
Ke'Shawn Williams,,WR,169.99
Myles Price,,WR,169.96
LaJohntay Wester,,WR,169.99
Devin Duvernay,,WR,169.99
Nikko Remigio,,WR,169.99
Skyy Moore,,WR,169.98
Dareke Young,,WR,169.99
Jalen Brooks,,WR,169.99
Robert Tonyan,,TE,169.99
Ray-Ray McCloud III,,WR,169.97
Cooper Rush,,QB,169.99
Mason Rudolph,,QB,169.98
Jeremy McNichols,,RB,169.99
Ameer Abdullah,,RB,169.99
Devin Singletary,,RB,169.98
Christian Kirk,,WR,169.93
Tim Patrick,,WR,169.98
Carson Wentz,,QB,169.98
Andy Dalton,,QB,169.99
Case Keenum,,QB,169.99
Lil'Jordan Humphrey,,WR,169.93
Gunner Olszewski,,WR,169.99
Brandon Aiyuk,,WR,169.96
AJ Dillon,,RB,169.98
Trey Sermon,,RB,169.99
Elijah Moore,,WR,169.99
Zach Wilson,,QB,169.99
Jermar Jefferson,,RB,169.94
Tylan Wallace,,WR,169.99
Kylen Granson,,TE,170.00
Simi Fehoko,,WR,169.99
Sam Ehlinger,,QB,169.99
Feleipe Franks,,TE,170.00
D.J. Montgomery,,WR,169.96
David Sills V,,WR,170.00
John Metchie III,,WR,169.99
Jelani Woods,,TE,170.00
Calvin Austin III,,WR,169.99
Grant Calcaterra,,TE,169.99
Cole Turner,,TE,170.00
Ty Chandler,,RB,169.99
Skylar Thompson,,QB,170.00
Brittain Brown,,RB,169.99
Julius Chestnut,,RB,169.99
Quintin Morris,,TE,170.00
Ronnie Rivers,,RB,169.98
Nikola Kalinic,,TE,170.00
Roschon Johnson,,RB,169.98
Luke Musgrave,,TE,169.98
Stetson Bennett IV,,QB,169.97
Justin Shorter,,WR,170.00
Will Mallory,,TE,170.00
Scott Matlock,,RB,169.99
Aidan O'Connell,,QB,169.99
Brayden Willis,,TE,170.00
Julian Hill,,TE,170.00
Irv Charles,,WR,170.00
Jake Bobo,,WR,169.98
Princeton Fant,,TE,170.00
Brady Russell,,RB,169.99
Ryan Miller,,WR,170.00
Chris Blair,,WR,170.00
Ricky Pearsall,,WR,169.94
Tip Reiman,,TE,170.00
Isaac Guerendo,,RB,170.11
Audric Estime,,RB,169.99
Jared Wiley,,TE,169.99
Jamari Thrash,,WR,169.99
Joe Milton III,,QB,169.95
Johnny Wilson,,WR,170.00
Mason Tipton,,WR,169.99
Colson Yankoff,,TE,169.98
Xavier Weaver,,WR,170.00
David Martin-Robinson,,TE,170.00
E.J. Jenkins,,TE,170.00
Jared Wayne,,WR,170.00
Tyrell Shavers,,WR,169.99
Chris Collier,,RB,169.99
Jayden Higgins,,WR,169.97
Trevor Etienne,,RB,170.04
Dillon Gabriel,,QB,169.98
Jalen Milroe,,QB,169.98
Gavin Bartholomew,,TE,169.99
Mitchell Evans,,TE,169.99
Jordan Watkins,,WR,169.99
Graham Mertz,,QB,170.00
Thomas Fidone II,,TE,170.00
Kurtis Rourke,,QB,170.00
Caleb Lohner,,TE,170.00
Moliki Matavao,,TE,170.00
Devin Neal,,RB,170.00
Robbie Ouzts,,RB,170.00
Will Howard,,QB,169.98
Xavier Restrepo,,WR,170.00
Corey Kiner,,RB,169.99
Raheim Sanders,,RB,169.99
Beaux Collins,,WR,169.98
Carter Runyon,,TE,170.00
Ben Yurosek,,TE,170.00
Treyton Welch,,TE,170.00
Keleki Latu,,TE,169.99
Nick Kallerup,,TE,170.00
Max Brosmer,,QB,169.99
Jimmy Holiday,,WR,170.00
Coleman Owen,,WR,170.00
Dalevon Campbell,,WR,170.00
Jeshaun Jones,,WR,169.99
Chris Brazzell II,,WR,170.00
CJ Daniels,,WR,169.97
Joe Royer,,TE,169.99
CJ Williams,,WR,170.00
Kendrick Law,,WR,170.00
Jaren Kanak,,TE,170.00
Deion Burks,,WR,170.00
Taylen Green,,QB,169.99
Jack Endries,,TE,170.00
Bauer Sharp,,TE,170.00
Behren Morton,,QB,169.99
Athan Kaliakmanis,,QB,169.99
Seydou Traore,,TE,170.00
Garrett Nussmeier,,QB,169.99
Cole Payton,,QB,169.99
Dallen Bentley,,TE,169.99
AJ Henning,,WR,1456.00
Camden Brown,,WR,1457.00
Montorie Foster Jr.,,WR,1458.00
Jack Strand,,QB,169.94
Haynes King,,QB,1460.00
Joe Fagnano,,QB,1461.00
J. Michael Sturdivant,,WR,1462.00
Jamal Agnew,,WR,170.00
Chris Moore,,WR,169.99
Noah Brown,,WR,169.99
Brandon Powell,,WR,169.99
Zach Pascal,,WR,170.00
Trent Sherfield,,WR,169.99
Jordan Akins,,TE,169.99
Nick Vannett,,TE,169.99
River Cracraft,,WR,169.99
Justin Watson,,WR,169.98
C.J. Ham,,RB,169.98
Russell Gage Jr.,,WR,170.00
Trent Taylor,,WR,169.99
DeAndre Carter,,WR,170.00
Eric Tomlinson,,TE,169.99
Anthony Firkser,,TE,170.00
Alex Erickson,,WR,170.00
Cedrick Wilson Jr.,,WR,169.99
Ross Dwelley,,TE,170.00
Tyler Conklin,,TE,169.98
Malik Turner,,WR,169.99
Brandon Allen,,QB,169.99
Jeff Driskel,,QB,169.99
Dare Ogunbowale,,RB,169.98
MyCole Pruitt,,TE,170.00
KhaDarel Hodge,,WR,169.99
Taylor Heinicke,,QB,169.99
Mike White,,QB,169.99
Allen Lazard,,WR,170.00
Phillip Dorsett II,,WR,169.99
Hunter Renfrow,,WR,169.99
Josh Reynolds,,WR,169.99
C.J. Uzomah,,TE,170.00
Cordarrelle Patterson,,RB,169.99
Taysom Hill,,TE,169.97
Marcedes Lewis,,TE,169.99
Trayveon Williams,,RB,169.96
Nick Mullens,,QB,170.00
Trevor Siemian,,QB,169.99
Ryan Griffin,,QB,169.99
Brett Rypien,,QB,170.00
Scotty Miller,,WR,169.99
John Kelly Jr.,,RB,169.99
Easton Stick,,QB,169.99
Jeff Wilson Jr.,,RB,169.99
Greg Dortch,,WR,169.98
Tim Boyle,,QB,169.99
Raheem Mostert,,RB,169.99
Jordan Matthews,,TE,169.99
Mecole Hardman Jr.,,WR,169.98
Equanimeous St. Brown,,WR,169.97
Travis Homer,,RB,169.98
Austin Seibert,,K,169.97
Gerald Everett,,TE,170.00
David Moore,,WR,169.98
Myles Gaskin,,RB,169.99
Miles Sanders,,RB,169.99
Hayden Hurst,,TE,169.99
Nyheim Hines,,RB,169.99
Parris Campbell,,WR,169.99
Diontae Johnson,,WR,169.99
Irv Smith Jr.,,TE,170.00
Greg Joseph,,K,169.98
Alexander Mattison,,RB,169.99
Dante Pettis,,WR,169.99
Joe Mixon,,RB,169.95
Tyreek Hill,,WR,169.83
Dalvin Cook,,RB,169.95
Nick Chubb,,RB,169.92
Will Dissly,,TE,170.00
Chase Edmonds,,RB,169.99
JuJu Smith-Schuster,,WR,169.97
DJ Chark,,WR,170.00
Mike Boone,,RB,169.99
Curtis Samuel,,WR,170.00
Zay Jones,,WR,169.98
D'Onta Foreman,,RB,169.99
Kareem Hunt,,RB,169.96
Michael Badgley,,K,169.98
Austin Ekeler,,RB,169.97
Geoff Swaim,,TE,170.00
Ezekiel Elliott,,RB,169.93
Gus Edwards,,RB,169.99
Mike Williams,,WR,169.99
Tyler Boyd,,WR,170.00
Younghoe Koo,,K,169.77
Marquez Valdes-Scantling,,WR,169.97
Jamaal Williams,,RB,169.99
Tyler Lockett,,WR,169.99
Chris Conley,,WR,170.00
Amari Cooper,,WR,169.97
Nelson Agholor,,WR,170.00
Sterling Shepard,,WR,169.99
Jamison Crowder,,WR,170.00
Robbie Chosen,,WR,169.99
DeAndre Hopkins,,WR,169.98
Derek Carr,,QB,169.98
Allen Robinson,,WR,169.99
Zach Ertz,,TE,169.98
Justin Tucker,,K,169.68
Brandin Cooks,,WR,169.99
Jimmy Garoppolo,,QB,169.97
Robert Woods,,WR,170.00
Brandon McManus,,K,169.95
Adam Thielen,,WR,169.99
Teddy Bridgewater,,QB,169.97
Dustin Hopkins,,K,169.98
Greg Zuerlein,,K,169.98
Russell Wilson,,QB,169.96
Matt Prater,,K,169.95
Josh Johnson,,QB,169.98
Graham Gano,,K,169.99
Tyree Jackson,,TE,170.00
Steven Sims,,WR,170.00
Deonte Harty,,WR,170.00
D'Ernest Johnson,,RB,169.99
Stephen Carlson,,TE,170.00
Khari Blasingame,,RB,169.99
Jakob Johnson,,RB,169.99
Pharaoh Brown,,TE,169.99
Craig Reynolds,,RB,169.99
Tom Kennedy,,WR,169.98
Trenton Irwin,,WR,169.99
Donald Parham Jr.,,TE,170.00
Clyde Edwards-Helaire,,RB,169.99
Cam Akers,,RB,169.99
Jalen Reagor,,WR,169.99
Ke'Shawn Vaughn,,RB,169.99
Zack Moss,,RB,169.99
Darrynton Evans,,RB,170.00
Joshua Kelley,,RB,169.99
Antonio Gibson,,RB,169.98
Laviska Shenault Jr.,,WR,170.00
Tyler Johnson,,WR,169.99
DeeJay Dallas,,RB,170.00
Van Jefferson,,WR,169.97
Josiah Deguara,,TE,170.00
Harrison Bryant,,TE,170.00
Albert Okwuegbunam Jr.,,TE,169.98
Gabe Davis,,WR,170.00
Quez Watkins,,WR,169.99
Collin Johnson,,WR,170.00
K.J. Osborn,,WR,169.99
James Proche II,,WR,170.00
Stephen Sullivan,,TE,170.00
Isaiah Hodgins,,WR,169.99
Marquez Callaway,,WR,170.00
JaMycal Hasty,,RB,169.99
J.J. Taylor,,RB,169.96
Salvon Ahmed,,RB,169.99
John Wolford,,QB,169.99
Sean McKeon,,TE,170.00
Trishton Jackson,,WR,170.00
Dan Chisena,,WR,169.99
Nick Westbrook-Ikhine,,WR,169.99
Jonathan Ward,,RB,169.99
Tony Jones Jr.,,RB,169.99
Lawrence Cager,,TE,170.00
Tony Brown,,WR,170.00
Kristian Wilkerson,,WR,170.00
Matthew Wright,,K,169.98
Michael Carter,,RB,169.99
Kadarius Toney,,WR,169.97
Terrace Marshall Jr.,,WR,169.99
Dee Eskridge,,WR,170.00
Kyle Trask,,QB,170.00
Dez Fitzpatrick,,WR,170.00
Elijah Mitchell,,RB,169.99
Gary Brightwell,,RB,170.00
Jaelon Darden,,WR,170.00
Khalil Herbert,,RB,169.98
